ids,ranking
amzn1.account.AE5ZW5DKHC4RQPNEX3SCAXXMDQJQ/,1412378
amzn1.account.AFYSIVK4K7LCD2F3773GQULTKCDQ/,5759395
amzn1.account.AFUKCDV6CLBA3I76JJVQPCOGIEKQ/,27525
amzn1.account.AE3W5WLVT2JVXWGAES2CJHPB56FQ/,822584
amzn1.account.AHQBMO5VJDNYBXMYIXAGGBQZ33KA/,3115209
amzn1.account.AH67FNBUI4INCHUL6O223CVL4F7Q/,132004
,
amzn1.account.AFL3DMVKM66RSPQPDDMK5PCDJO2Q/,2302627
amzn1.account.AFKI4OYHJDTNOV3DCBABQCVMIBJA/,110282
amzn1.account.AHUFFB5OIFJR35N2SFWSAG4P5RZQ/,354162
amzn1.account.AFDZGYOJ5CTPVRQJRX3IRG232DVA/,2320245
amzn1.account.AEN6FD56SEY53SIVIK5JFCDBJY6A/,84218909
amzn1.account.AGUPY7KCU4H5IB64IPBHHSJ2IGTA/,7641960
amzn1.account.AFMFI7N4H7IS5U5LGTNSIITP6DQQ/,702486
amzn1.account.AENAUPM4EM7GCD6KAJB6E3TCJ4OQ/,1619117
amzn1.account.AHKPFW5LLAJ3RYVGCUW362RBQQ5Q/,2112225
amzn1.account.AEYXFFNOOFUHC4KB6FMAQ2SCKHAA/,6685662
amzn1.account.AH6575VKGJOOEYBFS5LNU4VZ5U7A/,8240859
amzn1.account.AEKMZNLVXBW563D5Q3GMN3DM4XHA/,5364340
amzn1.account.AFTHBEGRBQB2ZVOBU6LHFB7F3HZA/,18079
amzn1.account.AHDROS35VSBOALPTMYJSL7Y27H7Q/,957973
amzn1.account.AHW4OJGYL6ETME4UVGQEX7LWME3A/,546848
amzn1.account.AFRHQTGTWTRTA2P2K3JR4H6ENATA/,157619
amzn1.account.AFRBGALPYKV4CL5N3ARBVHMRZFHA/,5855762
amzn1.account.AEGX3BZS465HLVOBC2HTRW6OFIRQ/,1658781
amzn1.account.AEKU7ZCUTEUX4GT24QOYUJHAEUFQ/,5602417
amzn1.account.AHUNMKTWSEGVJY4GOFTB5AHY4ALA/,328994
amzn1.account.AHKVJFEY3DWRMO6NUR352WBJSENA/,48580
amzn1.account.AHEF5ALIIMGLJW6HUIU5WCNM33HQ/,3366507
amzn1.account.AFWCHY53YVBIGVJE6DVERBF7UXTQ/,406647
amzn1.account.AFW56S34MTIYSJM4EZX55TGARZBA/,1480238
amzn1.account.AFRKKCAVE3FYYFWHIITMMH5XZ5DA/,2775538
amzn1.account.AFWBUALMG5DWXNAIEOIHNKTRM6TQ/,84381218
amzn1.account.AEAIPL4WBUKGP77SIOUIBIOBE5GQ/,10781360
amzn1.account.AEWAQR7Q5HXUS633O56FSBWTJUBA/,476868
amzn1.account.AHSJBDV6OCHVVR5Y7AOMHYFSFDAQ/,83833432
amzn1.account.AG4EHXW4W3OXWV3HQLDFX6KFGYXA/,84494335
amzn1.account.AGSYMSV6CDAZT3DJSWZBLFYVQNSQ/,11702675
amzn1.account.AHZCAAZ2QG6MVBGU6VYR2E7MM3EQ/,861027
amzn1.account.AGHNJGEVYZHJNKFNRF6NZRAVOAGQ/,1645486
amzn1.account.AH73ONLCDSBZICIZHOAGOVSERNBQ/,84388512
amzn1.account.AHR5LAMZR7PGK5MLA7M54PSRHEMQ/,172715
amzn1.account.AFLRANVQ55SGKHZM4HZ2C7GZVXFA/,1370972
amzn1.account.AF4DBLWSQX2XT2IZSV26FTIKGJZQ/,5441344
amzn1.account.AEWJFZEMGC3IB3DH2JC4JFGWHLMA/,1270544
amzn1.account.AFJIJBXGIT53LHOM6M7T2K7RRPNQ/,32954546
amzn1.account.AHVWYECFQJ57W474KCMDGB7S6UCQ/,1474638
amzn1.account.AGDRTLODAWDK454RHCY2IS4FBTAQ/,7049898
amzn1.account.AHLYBNMSMRDPBFI76ALTGAL7A2AQ/,5917175
amzn1.account.AHT2BVCSD6EQ2UYQMVNFOEW75JUA/,1015483
amzn1.account.AGL264W4UDYNEHWBBFLFCZCVYR2Q/,3819869
amzn1.account.AFKYEPONDILGYSEYGA7MLVBY3FFA/,211859
amzn1.account.AFV5DXS5VJL6M4DLX2T5UYHJFY2A/,17575780
amzn1.account.AHJ7G3ONYFSDR4M6ZW5DAGKK7ZHA/,9191331
,
amzn1.account.AESQXNXO2ZPCBBRR5SLNBL6ECNMQ/,343618
amzn1.account.AGSBZ7QFTYWXH3WBXJZNM6EFZ7PQ/,474663
amzn1.account.AHZSULVXNUT2HFR2DGO44UGNYWDA/,825257
amzn1.account.AGAC3TM3YJEY47DHWOF3OHWPUNRQ/,525296
amzn1.account.AHKJ752MQMAH5XLZTVFPC2AE65TQ/,677626
amzn1.account.AGJKUNTKFBYB5LQAXE3UJDD7Q6YQ/,84446252
amzn1.account.AFTPBCNTVS3EKQ4WJJ6WMG5633UQ/,8893388
amzn1.account.AHYHWEK4CUVY4KBC7OO2G63PZWRQ/,1065418
amzn1.account.AE6HZRXTO6RR7NJN2NEA6COXCJNA/,131995
amzn1.account.AGCSEABMCVG2X3MYQFSUH3D47PVA/,1313193
amzn1.account.AGLMCXKXUXANWVQVZI3MSK3WMWQA/,8092138
amzn1.account.AHSIFSSU6EGGDWNHP5RMW7G5SYCQ/,3017874
amzn1.account.AGVQ34MI4UZTK7JCB4USLWBYD5PQ/,4313793
amzn1.account.AFA56AHEVFE5BIFXCDQHBBDLFH5Q/,419402
amzn1.account.AEAHTONDYGVJBVFBFGKEWE57NOGQ/,1041769
amzn1.account.AFISQVMFNIG2GQF2Q4GYIXFZTSFQ/,165071
amzn1.account.AFYYFEID72I6U6TSNRNIT4TS6JDQ/,498875
amzn1.account.AF7K4W4PXB5AU6PJOXHFPWZPVAPA/,3462551
amzn1.account.AG3VCOZDSNHDIZVN5W3RXUMW565A/,3095082
amzn1.account.AGW6ZVK3SPONPOZSLLSNXPZDYOAA/,83998866
amzn1.account.AEKPY7G65J56LT33B6B5RSG5ELZA/,4512576
amzn1.account.AGLCAR3BTCASWULND26Y6KOB4ZJA/,807116
amzn1.account.AHG4BKFPRKPCA76UXYE32EEW377Q/,1284598
amzn1.account.AHD5VPLZDDZ5JQXTSNISYJXKGRMA/,675359
amzn1.account.AG3ZGDC7ZMTZ5EJTTS36JBXEYFPA/,174188
amzn1.account.AGVSNO54JWQCLSILX6EAV6E76SOA/,409434
amzn1.account.AHUSQAJNGOCJXEIKNHNZUFCCZJYA/,2551474
amzn1.account.AENVHICZ3VXAPZTYANMONOV5JOMQ/,5439843
amzn1.account.AGHA56VBPQ3XZLPI5BFTX32GDVQQ/,5627242
amzn1.account.AEBBEU6T7DJN34ZLZSB3Q5BZEMDA/,2611638
amzn1.account.AFMNLBF5AZRRJ226EIA6FUYDLE2A/,259353
amzn1.account.AFU7VV43QD4YAQN2EJGXQWDFKCRQ/,5824189
amzn1.account.AGKL23SDUDVYSBZ7HXK4VWFB4ITA/,21577
amzn1.account.AEHBE6IL7KCNQ7564WTKARHYCTMA/,836077
amzn1.account.AGBUPW5YA757FJVWMBFKXNWPZKWQ/,5739324
amzn1.account.AH2GM5CZR7QGJGTXINM55P7CRWFQ/,174295
amzn1.account.AHCNMGEQPC2OUMAF3IHNX5ORLGYQ/,84497468
amzn1.account.AFZURWPBEVLHSFBRFIPA3TLDCLKA/,84483482
amzn1.account.AFH7FPNBGEJVQ4PLQP2MN76QEBZQ/,1160274
amzn1.account.AFALPY7WC6FTZXN6UZAWLSEINNPA/,1427290
amzn1.account.AG63TIH4T4GP62354GVJQ7I5AI3A/,5028602
amzn1.account.AFRVUWLFYO7QNLEAIWRXMN3AXSPQ/,453944
amzn1.account.AGK76X3ZT7QQKHVREIGFAFVA4HEQ/,16271796
amzn1.account.AGW67DDHGTE6RGPVRV4GNIPFLJ7Q/,13218616
amzn1.account.AEPBZRLECTDRNQWOMLNABXVVWV3Q/,1744544
amzn1.account.AEA33OLYMY7NXGCHXVUE6B2VCJ3A/,447048
amzn1.account.AG5GACIH6UJ6BZIQGWY6ZYKWBSBA/,61864
amzn1.account.AEIAC2D2SFIYJGZ26XC7X7ETPYVQ/,25668243
amzn1.account.AEAHOXM4JFWVPLPERLAJOM3MC6WA/,1814819
amzn1.account.AECJXCJQYF545QTRTPEZA7ZHRKJA/,84467534
amzn1.account.AGMUYQGHDBEX5VFIHF2MV7GTOBWA/,2001661
amzn1.account.AFVDFWXCIUFUZKNY6NHCWR4SDYJA/,6697146
amzn1.account.AH7U3EFKDAJ3KEH243PE2AA75KLQ/,2576918
amzn1.account.AFAZHAO64ZIOJ74ZINARH2OSG5WA/,5859707
amzn1.account.AG7ZFF4A52T4WTPTUIBYEUB5TIMA/,2432452
amzn1.account.AGMKSHAA6PPLLBHSXDKHYSMN5EBA/,845111
amzn1.account.AF3KXWWKRURAMEJSGSDKHUQDZ2GQ/,517005
amzn1.account.AEM2M474UE23CP5O3B5DQMBCBL4Q/,441039
amzn1.account.AE5FBWOKLW6QUN63SH2WBFY3GWDQ/,745195
amzn1.account.AGH7NCSDPVDDNJL23HOMNKD6BZLA/,849601
amzn1.account.AFLXQL4JXBEND6C24YIKJT6TC2HQ/,1043848
amzn1.account.AG6OPFQO3M7M3SMZDMEY5KLJFLYQ/,413584
amzn1.account.AFZ3L3TKDWZWSOHJGOO6W5Z7VWOQ/,7025493
amzn1.account.AEAMW2GWEW7DSHRGTLBWFS6J33IQ/,11481311
amzn1.account.AGC5ODGPEZTEASGCGJKUYHGZ77SQ/,4642997
amzn1.account.AHFGFC5YP4NEZN5V22UK6J5Y2OQQ/,1947365
amzn1.account.AGG6WLAVFHKZRDOL7H7W6EKZSD4Q/,6270800
amzn1.account.AENIUTTF3R52UR7RZR3SNMM3G37Q/,54840
amzn1.account.AGL3Z37XPCXMQPFSKBJS2RSAZ2NA/,9150667
amzn1.account.AHLZXN3HKBFTH6CHDU3NV67ZUDRA/,202321
amzn1.account.AG7YFCEWPLTBOGLAMAUA5I636JIA/,84481752
amzn1.account.AH7T5PXFEW5LD43WZCEXUPH3GGGQ/,4852769
amzn1.account.AFMPRVDFDH7AODBPLKXTOJKQHCOA/,3556740
amzn1.account.AEDO7ASX7OYAF6TCOJADGJGRNGWA/,5528143
amzn1.account.AGRR4IETH6EMFGSPDIN35AYHDPTA/,2563019
amzn1.account.AGMWEBHFEIASP52VO3DZE2RK4MNQ/,84344979
amzn1.account.AFYHTARBKTUBZET7T3VVYWX4L2QA/,6010610
amzn1.account.AFORBXD2JSPJE3JHENXBYXG2BL3A/,249217
amzn1.account.AFKHBCB5KEMPL24GOTQ4VWNSFKHA/,13236879
amzn1.account.AE4OFG7Y6P7ZLQLNILFULZETSYYQ/,15425543
amzn1.account.AGAD5NEKAVAYQZYNWQ7XAY6ZZVZQ/,1118377
amzn1.account.AHQ4G45VUKV2QHD3LBTPB6VANLGA/,3590334
amzn1.account.AHEV2RZ5TMDQTVPGXRLNQETJVI3A/,238954
amzn1.account.AEQH2IA3MQNNJ3RZUFI6CAMLTWFA/,8143914
,
amzn1.account.AH42R6JQJC3S5NDNH5P72LOYE3PA/,6419654
amzn1.account.AFOMLC4YV4W3CEXVCWME52WDG6AA/,5174294
amzn1.account.AG4APDQAMFOYWFMEDBBIBTB7WTPQ/,86159
amzn1.account.AFQRXMZST4S4OAFACV7Q7EN5NL2Q/,20437
amzn1.account.AHIC4RWXBAYKRRNFESQEBEPFO3TA/,2072534
amzn1.account.AF7PGVXW3FS5LZ5N4NNFS44HJUKA/,162887
