ids,ranking
amzn1.account.AGKVCFLKYIVTLX4MZJMRQY2AOEJA/,25130309
amzn1.account.AEZFHKZ67YL7IT4P3KKSQ5QK6AQQ/,83853442
amzn1.account.AF3W6C4VVRQ4QPIJBBWZLO7HMU4A/,29406616
amzn1.account.AFGXVRE2CKZZBKQRD6COZNFOHHOA/,102401
amzn1.account.AFZKC7KMCFY7HCCEDZF5YGFY6DJA/,659685
amzn1.account.AGTJW5ICO243HVV2OFX6IMKARFJQ/,1550686
amzn1.account.AEY4T6ZWJHD6MVRIOMGSQXMKZSTA/,17968129
amzn1.account.AHHDICZQ54VLI66GZSNLDHTOG2XQ/,647197
amzn1.account.AHDU77AGF7CHUEUY2GL3PT4NOCPA/,3141314
amzn1.account.AHRAVNSIANBQTVJZLU6N6QTDCIAA/,4713
amzn1.account.AGX4ADEUWI34ZEZWQX5UCYSNXQXQ/,2463
amzn1.account.AHGILXTC67HPJVHXHHE5AIBG7LVQ/,13673154
amzn1.account.AF2D2O3MZRJP3ZPDQY3GMITL7EJQ/,3031344
